Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
0.000	0.049
0.000	0.029
0.000	0.078
0.000	-0.039
0.000	0.000
0.000	-0.039
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.688
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.678
0.000	19.688
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.688
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.688
0.000	19.669
0.000	19.678
0.000	19.688
0.000	19.688
0.000	19.669
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.688
0.000	19.669
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.678
0.000	19.678
0.000	19.669
0.000	19.669
0.000	19.678
0.000	19.669
