Distance_(pixels),Gray_Value
0,15.2659
1,15.4243
2,15.7857
3,16.1820
4,16.2339
5,16.0377
6,15.8144
7,16.0730
8,16.5420
9,17.0049
10,17.0403
11,16.8270
12,16.8786
13,17.0251
14,17.2252
15,17.3784
16,17.5719
17,17.5175
18,17.3511
19,17.1632
20,17.0079
21,17.1455
22,17.5374
23,17.8538
24,18.0270
25,18.0545
26,18.0622
27,18.0073
28,17.9840
29,18.3192
30,18.6834
31,18.6219
32,18.2626
33,18.0273
34,18.0426
35,17.9886
36,18.0832
37,18.2357
38,18.3852
39,18.4158
40,18.2769
41,18.1506
42,18.2300
43,18.6155
44,18.9511
45,19.3380
46,19.6014
47,19.5918
48,19.4559
49,19.2292
50,19.0758
51,18.9909
52,18.9028
53,18.9308
54,19.1371
55,19.3671
56,19.5827
57,19.5223
58,19.3362
59,19.0988
60,19.0827
61,19.0730
62,19.0460
63,19.0355
64,19.1902
65,19.5262
66,19.8590
67,20.1774
68,20.3378
69,20.3142
70,20.5022
71,20.8451
72,20.9986
73,21.1295
74,20.9379
75,20.9053
76,21.0765
77,21.3735
78,21.5467
79,21.7298
80,21.8712
81,21.9565
82,21.9946
83,21.9781
84,22.0966
85,22.1712
86,22.0758
87,22.0026
88,22.0301
89,22.0144
90,21.9864
91,22.2535
92,22.5424
93,22.7243
94,22.7428
95,22.9435
96,23.1830
97,23.3167
98,23.2156
99,23.2205
100,23.2761
101,23.2897
102,23.2974
103,23.4806
104,23.8959
105,24.3606
106,24.6912
107,25.0735
108,25.3741
109,25.3641
110,25.0870
111,24.7722
112,24.4823
113,24.3568
114,24.3114
115,24.5580
116,25.1635
117,25.7651
118,26.1955
119,26.1234
120,25.9667
121,25.9941
122,26.1831
123,26.4639
124,26.7241
125,26.6506
126,26.4868
127,26.5944
128,26.9892
129,27.4098
130,27.6241
131,27.7122
132,27.7873
133,27.8266
134,27.9738
135,28.3188
136,28.5871
137,28.6094
138,28.6780
139,28.5730
140,28.4854
141,28.4173
142,28.2862
143,28.1845
144,27.8889
145,27.6616
146,27.6469
147,27.7359
148,27.8865
149,27.8812
150,27.8243
151,28.1261
152,28.5875
153,29.2273
154,29.1766
155,29.0349
156,28.8426
157,28.7073
158,28.7995
159,29.0904
160,29.3077
161,29.1368
162,28.8273
163,28.5558
164,28.5574
165,28.9207
166,29.6288
167,30.1028
168,30.1274
169,29.9897
170,29.7302
171,29.8302
172,30.2637
173,30.8058
174,31.1356
175,31.3215
176,31.6147
177,31.6408
178,31.5276
179,31.7787
180,32.3172
181,32.5742
182,32.3470
183,32.1033
184,31.9928
185,32.0543
186,32.2200
187,32.4990
188,32.7173
189,32.4677
190,32.0578
191,32.0275
192,32.5187
193,32.8670
194,33.1132
195,33.2217
196,33.1341
197,32.8971
198,32.7398
199,32.8089
200,32.9585
201,33.0303
202,33.0009
203,32.9285
204,33.0255
205,32.9963
206,32.8616
207,33.1187
208,33.5021
209,33.7959
210,34.0125
211,34.1560
212,34.3233
213,34.3583
214,34.2713
215,34.3359
216,34.3037
217,34.4513
218,34.6790
219,34.9458
220,35.2864
221,35.4078
222,35.5725
223,35.4432
224,35.4459
225,35.4114
226,35.5797
227,35.7340
228,35.7885
229,35.9607
230,36.3706
231,36.9587
232,37.4395
233,37.6678
234,37.7293
235,37.7684
236,37.4713
237,37.0287
238,36.8506
239,37.2421
240,37.6412
241,38.0960
242,38.3889
243,38.5397
244,38.3867
245,38.2792
246,38.2263
247,38.5625
248,39.1492
249,39.6159
250,39.6983
251,39.6050
252,39.7458
253,40.0211
254,40.3404
255,40.6409
256,40.6058
257,40.3445
258,40.3888
259,40.5872
260,41.0126
261,41.2302
262,41.6557
263,41.7471
264,41.6476
265,41.5415
266,41.7309
267,42.1593
268,42.5879
269,42.2361
270,41.9032
271,42.1386
272,42.8933
273,43.9232
274,44.2395
275,44.2080
276,44.0895
277,44.0597
278,44.3462
279,44.8875
280,45.3451
281,45.9384
282,46.4757
283,46.8005
284,47.0124
285,47.0157
286,46.7866
287,47.0290
288,47.4227
289,47.6169
290,47.7629
291,48.1971
292,48.7162
293,48.9947
294,49.0254
295,48.9983
296,49.0981
297,49.3318
298,49.8268
299,50.5648
300,51.2526
301,51.6681
302,51.9896
303,51.9940
304,52.0625
305,52.0636
306,52.2754
307,52.7786
