Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.000	97.855
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.148
0.000	98.050
0.000	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
0.000	98.050
0.000	98.050
0.000	98.148
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.148
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
-7.272E-5	98.050
0.000	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.148
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
0.000	98.050
0.000	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.148
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.148
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
-7.272E-5	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.148
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
0.000	98.050
7.272E-5	98.050
7.272E-5	98.050
7.272E-5	98.050
7.272E-5	98.050
7.272E-5	98.050
7.272E-5	98.050
7.272E-5	98.050
1.454E-4	98.050
1.454E-4	98.050
1.454E-4	98.050
1.454E-4	98.050
1.454E-4	98.050
2.182E-4	98.050
2.182E-4	98.050
2.909E-4	98.050
5.091E-4	98.050
0.001	98.050
0.002	98.050
0.003	40.626
0.004	7.910
0.005	3.906
0.006	2.344
0.006	2.344
0.007	1.758
0.007	1.953
0.008	1.465
0.008	1.758
0.009	1.270
0.009	1.563
0.009	1.172
0.010	1.465
0.010	0.977
0.011	1.270
0.011	0.781
0.012	1.172
0.013	0.781
0.013	1.074
0.013	0.586
0.014	0.977
0.014	0.586
0.014	0.977
0.015	0.488
0.016	0.879
0.017	0.488
0.017	0.781
0.018	0.391
0.018	0.781
0.019	0.391
0.020	0.781
0.020	0.293
0.021	0.684
0.022	0.195
0.022	0.684
0.023	0.195
0.024	0.586
0.025	0.195
0.025	0.586
0.026	0.195
0.026	0.586
0.027	0.098
0.028	0.488
0.029	0.098
0.029	0.488
0.030	0.000
0.031	0.488
0.031	0.000
0.032	0.488
0.033	0.000
0.034	0.391
0.034	0.098
0.036	0.488
0.037	0.000
0.038	0.391
0.038	0.000
0.038	0.391
0.039	0.000
0.039	0.391
0.040	0.000
0.040	0.391
0.040	0.000
0.040	0.391
0.040	0.000
0.040	0.391
0.041	0.000
0.041	0.391
0.040	0.000
0.040	0.391
0.040	0.000
0.040	0.391
0.040	0.000
0.040	0.391
0.040	0.000
0.040	0.391
0.040	0.098
0.040	0.391
